 ,Label,Area,Mean,Min,Max
81,931_H7_2.tif:931_H7_2_green,7345,47914.781,6645,65535
82,931_H7_2.tif:931_H7_2_green,7350,55712.182,9098,65535
83,931_H7_2.tif:931_H7_2_green,7326,47604.929,5884,65535
84,931_H7_2.tif:931_H7_2_green,7082,50123.637,3063,65535
85,931_H7_2.tif:931_H7_2_green,3416,31572.582,1957,65535
86,931_H7_2.tif:931_H7_2_green,5600,43556.616,4600,65535
87,931_H7_2.tif:931_H7_2_green,6836,45282.829,1978,65535
88,931_H7_2.tif:931_H7_2_green,5359,36745.216,1956,65535
89,1894_G3_4.tif:1894_G3_4_green,2763,26713.518,0,65535
90,1894_G3_4.tif:1894_G3_4_green,7619,31789.983,0,65535
91,1894_G3_4.tif:1894_G3_4_green,6278,18128.007,0,65535
92,1894_G3_4.tif:1894_G3_4_green,6820,23459.292,0,65535
93,1894_G3_4.tif:1894_G3_4_green,8551,30451.964,0,65535
94,1894_G3_4.tif:1894_G3_4_green,8571,25497.670,0,65535
95,1894_G3_4.tif:1894_G3_4_green,6067,22427.642,0,65535
96,1894_G3_4.tif:1894_G3_4_green,7495,22383.375,0,65535
97,1894_G3_4.tif:1894_G3_4_green,7011,33948.364,0,65535
98,1894_G3_4.tif:1894_G3_4_green,6967,26205.812,0,65535
99,1894_G3_4.tif:1894_G3_4_green,7148,17525.668,0,65535
100,1894_G3_4.tif:1894_G3_4_green,6840,10166.597,0,63152
101,1894_G3_4.tif:1894_G3_4_green,6773,24870.728,0,65535
102,1894_G3_4.tif:1894_G3_4_green,4935,19958.302,0,65535
103,551_C10_2.tif:551_C10_2_green,6493,21284.138,0,65535
104,551_C10_2.tif:551_C10_2_green,7417,17994.073,0,65535
105,551_C10_2.tif:551_C10_2_green,6923,17928.032,0,65535
106,551_C10_2.tif:551_C10_2_green,6241,17854.424,0,64686
107,551_C10_2.tif:551_C10_2_green,7970,22500.256,0,65535
108,551_C10_2.tif:551_C10_2_green,6596,17946.790,0,63921
109,551_C10_2.tif:551_C10_2_green,5908,10481.456,0,55236
110,551_C10_2.tif:551_C10_2_green,8523,16864.535,0,65535
111,551_C10_2.tif:551_C10_2_green,7215,21521.021,0,65535
112,551_C10_2.tif:551_C10_2_green,7167,13308.372,0,54640
113,551_C10_2.tif:551_C10_2_green,11290,20131.343,0,65535
114,551_C10_2.tif:551_C10_2_green,7501,16040.472,0,65535
115,551_C10_2.tif:551_C10_2_green,7775,21174.070,0,65535
116,551_C10_2.tif:551_C10_2_green,6428,29525.711,0,65535
117,1773_H11_1.tif:1773_H11_1_green,6852,8534.297,0,60280
118,1773_H11_1.tif:1773_H11_1_green,8203,13849.798,0,64156
119,1773_H11_1.tif:1773_H11_1_green,7693,10157.939,0,61711
120,1773_H11_1.tif:1773_H11_1_green,7534,11312.611,0,65535
121,1773_H11_1.tif:1773_H11_1_green,9221,15027.821,0,65535
122,1773_H11_1.tif:1773_H11_1_green,9269,22895.260,0,65535
123,1773_H11_1.tif:1773_H11_1_green,9161,13700.997,0,55102
124,1894_G3_5.tif:1894_G3_5_green,4490,26957.406,0,65535
125,1894_G3_5.tif:1894_G3_5_green,6522,20013.618,0,65535
126,1894_G3_5.tif:1894_G3_5_green,7653,38092.890,662,65535
127,1894_G3_5.tif:1894_G3_5_green,9266,18741.716,0,65535
128,1894_G3_5.tif:1894_G3_5_green,9598,19940.679,0,65535
129,1894_G3_5.tif:1894_G3_5_green,6714,16445.010,0,61848
130,1894_G3_5.tif:1894_G3_5_green,11457,20677.366,0,65535
131,1894_G3_5.tif:1894_G3_5_green,8367,20005.914,0,64883
